"CALL_ID","CALL_DATE","AUDIO_FILE_PATH","TRANSCRIPT_TEXT","_LOADED_AT"
"CALL00001","2025-10-31","calls/call_001.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00002","2025-12-21","calls/call_002.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00003","2025-11-15","calls/call_003.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00004","2025-10-06","calls/call_004.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00005","2025-10-01","calls/call_005.mp3","Just wanted to say the Max White Toothpaste is amazing. The mint flavor is perfect and I can already see real whitening results.","2026-05-22 12:53:22.803"
"CALL00006","2025-11-30","calls/call_006.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00007","2025-10-22","calls/call_007.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00008","2025-12-19","calls/call_008.mp3","Hi, I bought the new Colgate Max White last month and I'm really impressed. My dentist even noticed the difference.","2026-05-22 12:53:22.803"
"CALL00009","2025-10-17","calls/call_009.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00010","2025-10-07","calls/call_010.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00011","2025-11-13","calls/call_011.mp3","Question about Max White, is it okay to use with sensitive teeth?","2026-05-22 12:53:22.803"
"CALL00012","2025-10-27","calls/call_012.mp3","calling to say thank you for making Max White. It's become my go-to toothpaste. The fresh mint taste is wonderful.","2026-05-22 12:53:22.803"
"CALL00013","2025-12-12","calls/call_013.mp3","calling to say thank you for making Max White. It's become my go-to toothpaste. The fresh mint taste is wonderful.","2026-05-22 12:53:22.803"
"CALL00014","2025-11-24","calls/call_014.mp3","Just wanted to say the Max White Toothpaste is amazing. The mint flavor is perfect and I can already see real whitening results.","2026-05-22 12:53:22.803"
"CALL00015","2025-12-17","calls/call_015.mp3","Just wanted to say the Max White Toothpaste is amazing. The mint flavor is perfect and I can already see real whitening results.","2026-05-22 12:53:22.803"
"CALL00016","2025-12-01","calls/call_016.mp3","I just purchased Max White and wanted to know if it's safe to use twice daily.","2026-05-22 12:53:22.803"
"CALL00017","2025-11-06","calls/call_017.mp3","calling to say thank you for making Max White. It's become my go-to toothpaste. The fresh mint taste is wonderful.","2026-05-22 12:53:22.803"
"CALL00018","2025-11-03","calls/call_018.mp3","The Max White is fantastic. I've tried other whitening toothpastes but this one actually works. Very happy customer here.","2026-05-22 12:53:22.803"
"CALL00019","2025-10-03","calls/call_019.mp3","Question about Max White, is it okay to use with sensitive teeth?","2026-05-22 12:53:22.803"
"CALL00020","2025-12-14","calls/call_020.mp3","I just purchased Max White and wanted to know if it's safe to use twice daily.","2026-05-22 12:53:22.803"
"CALL00021","2025-11-29","calls/call_021.mp3","calling to say thank you for making Max White. It's become my go-to toothpaste. The fresh mint taste is wonderful.","2026-05-22 12:53:22.803"
"CALL00022","2025-10-07","calls/call_022.mp3","Question about Max White, is it okay to use with sensitive teeth?","2026-05-22 12:53:22.803"
"CALL00023","2025-10-21","calls/call_023.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
"CALL00024","2025-11-17","calls/call_024.mp3","Hi, I bought the new Colgate Max White last month and I'm really impressed. My dentist even noticed the difference.","2026-05-22 12:53:22.803"
"CALL00025","2025-10-15","calls/call_025.mp3","I just purchased Max White and wanted to know if it's safe to use twice daily.","2026-05-22 12:53:22.803"
"CALL00026","2025-10-17","calls/call_026.mp3","I'm calling about the Colgate Max White Toothpaste. I absolutely love it. My teeth are noticeably whiter after just two weeks of use.","2026-05-22 12:53:22.803"
